player_name,player_name_season,season,plus_minus,minutes,pat,player_minutes_category,pie_pra,mantrap,santrap,primary_team_name,example_sentence
George King,"George King, 2021",2021,-27,19.15,-1.489088338,All,0.001364095,0.000988831,0.257647158,Dallas Mavericks,
Kevin Knox II,"Kevin Knox II, 2018",2018,-509,1899.933333,-0.096440194,Star,0.096379648,0,0.190645261,New York Knicks,
Kevin Knox II,"Kevin Knox II, 2019",2019,-179,1166.033333,-0.019885809,Rotation,0.061858736,0.114546671,0.374849845,New York Knicks,
Kevin Knox II,"Kevin Knox II, 2020",2020,-40,459.3,-0.12366722,All,0.02056226,0.058290403,0.39307018,New York Knicks,
Kevin Knox II,"Kevin Knox II, 2021",2021,-70,222.45,-0.353302922,All,0.01219801,0.030840428,0.35035718,Atlanta Hawks,
Kevin Knox II,"Kevin Knox II, 2022",2022,-233,902,-0.027518143,All,0.04380044,0.11932962,0.395276279,Detroit Pistons,
Kevin Knox II,"Kevin Knox II, 2023",2023,-85,561,0.064105676,All,0.023792764,0.058795104,0.363101758,Detroit Pistons,
Kevin Knox II,"Kevin Knox II, 2024",2024,-3,84,-0.319568452,All,0.005531194,0.010295913,0.258233295,Golden State Warriors,
Rodions Kurucs,"Rodions Kurucs, 2018",2018,-35,1196.716667,-0.021872058,Rotation,0.053750071,0.105099835,0.338006361,Brooklyn Nets,
Rodions Kurucs,"Rodions Kurucs, 2019",2019,-27,683.4333333,-0.017997686,All,0.040808686,0.029911553,0.18015777,Brooklyn Nets,
Rodions Kurucs,"Rodions Kurucs, 2020",2020,6,118.25,0.017129999,All,0.006470427,0.016853417,0.379969493,Houston Rockets,
Jordan Loyd,"Jordan Loyd, 2018",2018,-17,45.56666667,-0.547932389,All,0.006102794,0.003966083,0.215918144,Toronto Raptors,
Daryl Macon,"Daryl Macon, 2018",2018,9,68.78333333,0.110132187,All,0.004389709,0.005490366,0.288639889,Dallas Mavericks,
Daryl Macon,"Daryl Macon, 2019",2019,0,14.08333333,-0.11786372,All,0.005605148,0.000253785,0.107216307,Miami Heat,
J.P. Macura,"J.P. Macura, 2018",2018,1,16.83333333,0.077263083,All,0.00486861,0.001903032,0.281876318,Charlotte Hornets,
J.P. Macura,"J.P. Macura, 2019",2019,3,0.616666667,4.406531532,All,0.001769231,0,0.5,Charlotte Hornets,
Yante Maten,"Yante Maten, 2018",2018,2,1.033333333,1.96362646,All,0.010579287,0.000301469,0.488384108,Miami Heat,
Jordan McLaughlin,"Jordan McLaughlin, 2019",2019,-70,590.3833333,-0.03689621,All,0.037948577,0.027257011,0.173613455,Minnesota Timberwolves,
Jordan McLaughlin,"Jordan McLaughlin, 2020",2020,-124,877.65,-0.000984323,All,0.041049451,0.131925713,0.456385603,Minnesota Timberwolves,
Jordan McLaughlin,"Jordan McLaughlin, 2021",2021,36,899.8,-0.012807062,All,0.03366075,0.110778534,0.427405036,Minnesota Timberwolves,
Jordan McLaughlin,"Jordan McLaughlin, 2022",2022,98,569,0.158194928,All,0.022575579,0.063951603,0.364783186,Minnesota Timberwolves,
Jordan McLaughlin,"Jordan McLaughlin, 2023",2023,155,626,0.110854848,All,0.022482634,0.066227418,0.372756742,Minnesota Timberwolves,
Jordan McLaughlin,"Jordan McLaughlin, 2024",2024,57,315,0.245729709,All,0.013919368,0.033680345,0.343949522,Sacramento Kings,
DeAnthony Melton,"DeAnthony Melton, 2018",2018,-131,858.25,0.010173739,All,0.046645494,0.075586507,0.342053358,Phoenix Suns,
DeAnthony Melton,"DeAnthony Melton, 2019",2019,127,1181.666667,0.136786643,Rotation,0.051903313,0.247859317,0.613103965,Memphis Grizzlies,
DeAnthony Melton,"DeAnthony Melton, 2020",2020,119,1045.116667,0.103483502,Rotation,0.056664108,0.21829402,0.543429353,Memphis Grizzlies,
DeAnthony Melton,"DeAnthony Melton, 2021",2021,216,1637.733333,0.002142768,Starter,0.077850935,0.187470807,0.433615162,Memphis Grizzlies,
DeAnthony Melton,"DeAnthony Melton, 2022",2022,38,1855,-0.033250914,Star,0.087989383,0.064974622,0.273195125,Philadelphia 76ers,
DeAnthony Melton,"DeAnthony Melton, 2023",2023,218,1022,0.037734722,All,0.047137629,0.116136548,0.406561104,Philadelphia 76ers,
DeAnthony Melton,"DeAnthony Melton, 2024",2024,26,121,0.057137938,All,0.00867052,0.017091145,0.30873467,Golden State Warriors,
Chimezie Metu,"Chimezie Metu, 2018",2018,-1,145.4166667,0.009892847,All,0.01294224,0.019309582,0.290446955,San Antonio Spurs,
Chimezie Metu,"Chimezie Metu, 2019",2019,-9,105.25,-0.061344981,All,0.008980692,0.007251412,0.127788954,San Antonio Spurs,
Chimezie Metu,"Chimezie Metu, 2020",2020,-60,473.8666667,-0.027186077,All,0.030711496,0.090836038,0.425736717,Sacramento Kings,
Chimezie Metu,"Chimezie Metu, 2021",2021,-154,1265.683333,-0.029126312,Rotation,0.058647077,0.15462716,0.409322535,Sacramento Kings,
Chimezie Metu,"Chimezie Metu, 2022",2022,74,578,0.077651742,All,0.032429973,0.100493224,0.387449473,Sacramento Kings,
Chimezie Metu,"Chimezie Metu, 2023",2023,-109,859,-0.106859683,All,0.037390332,0.0992953,0.382849378,Phoenix Suns,
Shake Milton,"Shake Milton, 2018",2018,5,240.0666667,0.012120247,All,0.00840921,0.019882315,0.291201187,Philadelphia 76ers,
Shake Milton,"Shake Milton, 2019",2019,-3,827.1166667,-0.055351196,All,0.048288622,0.038541291,0.198042783,Philadelphia 76ers,
Shake Milton,"Shake Milton, 2020",2020,128,1419.45,-0.027034431,Starter,0.080776773,0.15917077,0.399057406,Philadelphia 76ers,
