head_node_type,head_node_schema,head_node_name,tail_node_type,tail_node_schema,tail_node_schema,head_node_verbose,tail_node_verbose
view,bi,player_season_primary_and_concat_position,dashboard,,Player Position Group Season Rankings,view bi.player_season_primary_and_concat_position,dashboard Player Position Group Season Rankings
view,bi,player_season_primary_and_concat_team,dashboard,,Player Position Group Season Rankings,view bi.player_season_primary_and_concat_team,dashboard Player Position Group Season Rankings
view,bi,season,dashboard,,Player Position Group Season Rankings,view bi.season,dashboard Player Position Group Season Rankings
view,bi,game_season,dashboard,,Player Season Totals and Rankings,view bi.game_season,dashboard Player Season Totals and Rankings
view,bi,player,dashboard,,Player Season Totals and Rankings,view bi.player,dashboard Player Season Totals and Rankings
view,bi,player_game_stats,dashboard,,Player Season Totals and Rankings,view bi.player_game_stats,dashboard Player Season Totals and Rankings
view,bi,player_regular_season_percentile,dashboard,,Player Season Totals and Rankings,view bi.player_regular_season_percentile,dashboard Player Season Totals and Rankings
view,bi,player_regular_season_rank,dashboard,,Player Season Totals and Rankings,view bi.player_regular_season_rank,dashboard Player Season Totals and Rankings
view,bi,player_season,dashboard,,Player Season Totals and Rankings,view bi.player_season,dashboard Player Season Totals and Rankings
view,bi,player_season_primary_and_concat_position,dashboard,,Player Season Totals and Rankings,view bi.player_season_primary_and_concat_position,dashboard Player Season Totals and Rankings
view,bi,player_season_primary_and_concat_team,dashboard,,Player Season Totals and Rankings,view bi.player_season_primary_and_concat_team,dashboard Player Season Totals and Rankings
view,bi,season,dashboard,,Player Season Totals and Rankings,view bi.season,dashboard Player Season Totals and Rankings
view,bi,player_season_primary_and_concat_position,dashboard,,Volume and Efficiency,view bi.player_season_primary_and_concat_position,dashboard Volume and Efficiency
view,bi,player_season_primary_and_concat_team,dashboard,,Volume and Efficiency,view bi.player_season_primary_and_concat_team,dashboard Volume and Efficiency
view,bi,season,dashboard,,Volume and Efficiency,view bi.season,dashboard Volume and Efficiency
view,bi,player_season,dashboard,,Volume and Efficiency,view bi.player_season,dashboard Volume and Efficiency
view,bi,player_position_group_regular_season_percentile,dashboard,,Volume and Efficiency,view bi.player_position_group_regular_season_percentile,dashboard Volume and Efficiency
view,bi,player_regular_season_pat_percentile,dashboard,,Volume and Efficiency,view bi.player_regular_season_pat_percentile,dashboard Volume and Efficiency
view,bi,player_regular_season_volume_efficiency,dashboard,,Volume and Efficiency,view bi.player_regular_season_volume_efficiency,dashboard Volume and Efficiency
table,dbo,player_regular_season_pat_percentile,view,bi,player_regular_season_volume_efficiency,table dbo.player_regular_season_pat_percentile,view bi.player_regular_season_volume_efficiency
table,dbo,player_position_group_regular_season_percentile,view,bi,player_regular_season_volume_efficiency,table dbo.player_position_group_regular_season_percentile,view bi.player_regular_season_volume_efficiency
stored procedure,dbo,create_player_regular_season_pat_percentile,table,dbo,player_regular_season_pat_percentile,stored procedure dbo.create_player_regular_season_pat_percentile,table dbo.player_regular_season_pat_percentile
table,dbo,player_regular_season_pat_stats,stored procedure,dbo,create_player_regular_season_pat_percentile,table dbo.player_regular_season_pat_stats,stored procedure dbo.create_player_regular_season_pat_percentile
table,dbo,regular_season_minutes_buckets,stored procedure,dbo,create_player_regular_season_pat_percentile,table dbo.regular_season_minutes_buckets,stored procedure dbo.create_player_regular_season_pat_percentile
table,clean,scores,stored procedure,dbo,create_player_regular_season_correlation,table clean.scores,stored procedure dbo.create_player_regular_season_correlation
table,clean,player_game_stats,stored procedure,dbo,create_player_regular_season_correlation,table clean.player_game_stats,stored procedure dbo.create_player_regular_season_correlation
stored procedure,dbo,create_player_regular_season_correlation,table,dbo,player_regular_season_correlation,stored procedure dbo.create_player_regular_season_correlation,table dbo.player_regular_season_correlation
table,dbo,player_regular_season_correlation,view,bi,player_regular_season_correlation,table dbo.player_regular_season_correlation,view bi.player_regular_season_correlation
API Service,,NBA API,python file,,GetTodaysNBAScores2,API Service NBA API,python file GetTodaysNBAScores2
python file,,GetTodaysNBAScores2,table,stg,scores,python file GetTodaysNBAScores2,table stg.scores
python file,,GetTodaysNBAScores2,stored procedure,trf,transfer_scores,python file GetTodaysNBAScores2,stored procedure trf.transfer_scores
API Service,,NBA API,python file,,GetNBAPlayerStats2,API Service NBA API,python file GetNBAPlayerStats2
python file,,GetNBAPlayerStats2,table,stg,player_game_stats,python file GetNBAPlayerStats2,table stg.player_game_stats
python file,,GetNBAPlayerStats2,stored procedure,trf,transfer_player_game_stats,python file GetNBAPlayerStats2,stored procedure trf.transfer_player_game_stats
python file,,GetNBAPlayerStats2,stored procedure,dbo,delete_player_game_stats,python file GetNBAPlayerStats2,stored procedure dbo.delete_player_game_stats
table,dbo,player_game_stats,stored procedure,dbo,delete_player_game_stats,table dbo.player_game_stats,stored procedure dbo.delete_player_game_stats
table,dbo,scores,stored procedure,dbo,delete_player_game_stats,table dbo.scores,stored procedure dbo.delete_player_game_stats
python file,,CleanNBADataStructures.py,table,cln,clean_scores,python file CleanNBADataStructures.py,table cln.clean_scores
python file,,CleanNBADataStructures.py,table,cln,clean_player_game_stats,python file CleanNBADataStructures.py,table cln.clean_player_game_stats
